date,headline,sentiment
2019-11-12,"Royal London Asset Management Ltd Buys Apple Inc, Amazon. ...",0
2019-11-07,"TDAM USA Inc. Buys Phillips 66, DuPont de Nemours Inc, Agilent Technologies Inc, Sells Apple ...",0
2018-06-02,"Stocks To Watch: Eyes On Apple's WWDC, SCOTUS And D.C.",0
2017-11-21,Stocks Up Big As Apple Leads Dow; Is It Time To Buy This Top Internet Play?,1
2017-05-23,Stocks: Slim Gains Turn Mixed; Nokia Surges On Apple Deal,-1
2017-02-27,"Buffett Doubles Apple, Seeks Deals",0
2016-07-27,Apple Upgraded; Twitter A 'Loser'; Caterpillar Price Target Hiked,1
2015-12-30,Apple Supplier Avago Technologies Keeps On Rolling,0
2015-12-22,"Agilent, Apple and Canadian Pacific Are Among Larry Robbins' New Buys",0
2013-12-02,$500 Billion Manager Brian Rogers' About-Face on Apple Inc.,0
2013-12-02,Brian Rogers Changes His Mind on Apple at Lower Valuation,0
2013-08-12,Technology Stock Roundup: Obama Can't Save Apple - Analyst Blog,0
2019-12-05,Apple buys first carbon-free aluminum from Alcoa-Rio Tinto JV,0
2019-03-12,"Apple, Rio Tinto in Advance Talks to Cut Carbon Footprint",0
2020-05-12,"Apple, Amazon and Share Buybacks",0
2017-02-17,"Stock Indexes Quiet, But Apple Supplier Cognex Leaps 9%",1
2017-01-03,"Discounted Stocks: Apple, Accenture, Aaron's",0
2015-08-26,Best Buy to Expand Sales of Apple Watch Across All Stores,1
2018-11-13,Stock Market Posts Volatile Gains; Is Apple Stock Nearing A Bottom?,-1
2018-03-26,Apple's Tim Cook Is Wrong About Regulating Facebook,-1
2017-05-23,Stocks: Slim Gains Turn Mixed; Nokia Surges On Apple Deal,-1
2017-01-03,"Discounted Stocks: Apple, Accenture, Aaron's",0
2015-02-12,Apple Lifts Nasdaq To Its Highest Level Since Bubble,1
2014-10-23,Stock Indexes Build On Gains; Apple Breaks Out In Fast Trade,1
2012-10-31,"RadioShack (RSH) and SUPERVALU (SVU) Beat Apple (AAPL) In This Important Metric (TSCO, DG, DDS, AAP & AZO)",1
2020-05-31,"Apple CEO Writes To Employees About George Floyd Death, Urges For 'Better, More Just World For Everyone'",0
2020-05-28,"Tredje AP-fonden Buys Microsoft Corp, Amazon.com Inc, Apple Inc, Sells iShares U.S. ...",0
2020-05-28,"The Zacks Analyst Blog Highlights: Apple, Exxon Mobil, Cisco System and Chevron",0
2020-02-29,"Digital Pen Market (New PDF) [Review: —…—…-—…—9] | Top Players – Apple Inc, ...",0
2020-01-28,"Fingerprint Sensor Market (PDF) Review —…—…-—…—9 | Top Players – Apple Inc, ...",0
2010-03-29,'Fast Money' Recap: Apple's Hot New iPhone,1
2019-01-03,New Age Beverages and China XD Plastics among consumer gainers; Apple and Fabrinet among losers,0
2015-12-14,China 'Robolution' Looms Over Apple Supplier Foxconn,-1
2015-11-05,"Apple, Alphabet Jumping Into Artificial Intelligence",0
2015-11-05,"Apple, Alphabet Jumping Into Artificial Intelligence",0
2020-05-13,"Brick & Kyle, Associates Buys Apple Inc, SPDR Series Trust S&P Biotech, Amazon. ...",0
2020-05-01,"Telos Capital Management, Inc. Buys Qualcomm Inc, Apple Inc, Procter & Gamble Co, Sells ...",0
2017-07-07,Futures Steady Before Jobs Data; Apple/Qualcomm Tiff Lifts This Dow Name,1
2019-11-06,"Capco Asset Management, LLC Buys Autodesk Inc, Camping World Holdings Inc, Ambev SA, Sells Apple Inc",0
2019-09-08,"Apple, IPOs And German Auto (Stocks To Watch Podcast)",0
2019-09-07,"Stocks To Watch: Apple, IPOs And German Auto",0
2019-06-02,"Apple's WWDC, DuPont's Return And Tariff Anxiety (Stocks To Watch Podcast)",0
2019-06-01,"Stocks To Watch: Apple's WWDC, DuPont's Return And Tariff Anxiety",0
2019-01-08,John And Jane's Taxable Account Dividend Increases And Income Tracker - The Apple Effect,0
2015-09-29,Google Play Music to Launch Family Plan: Should Apple Worry?,-1
2015-04-28,"Apple (AAPL) Tops Q2 Earnings on Solid iPhone, Mac Sales - Analyst Blog",1
2015-04-21,Will Google's Android Wear Hit Apple Watch Frenzy? - Analyst Blog,0
2014-10-06,"Apple Now a Strong Buy, New iPhones & iPad Key Catalysts - Analyst Blog",1
2018-12-10,"Stock Losses Increase, But Qualcomm Up On Apple Patent Case",1
2016-11-16,"Ray Dalio Raised Apple, Intel in 'rd Quarter",0
2016-11-16,"Ray Dalio Raises Apple, Intel in 'rd Quarter",0
2016-09-21,Presenting Apple's First Car,0
2015-07-21,"Stock Futures Mixed, IBM Weighs; Infosys, Tesla, Apple In Motion",0
2019-09-08,"Apple, IPOs And German Auto (Stocks To Watch Podcast)",0
2019-09-07,"Stocks To Watch: Apple, IPOs And German Auto",0
2016-06-02,Apple Challenging Tesla,-1
2016-05-26,Apple's Next Moves? Hints From M&A Talks,0
2016-01-08,Apple Reads Your Mind,0
2017-03-06,Apple Chip Deal?,0
2017-01-25,"Amazon, Apple, And Netflix Versus Liberty",0
2012-10-26,"Overlooked in Apple Noise, Good News From Smaller Names",1
2012-10-26,"Overlooked in Apple Noise, Good News From Smaller Names",1
2012-01-31,"Zacks Investment Ideas feature highlights: Arctic Cat, Caterpillar, Apple, United Rentals and CA Technologies - Press Releases",0
2019-04-28,"Eyes On Apple, Uber, F8 And Avengers (Stocks To Watch Podcast)",0
2019-04-27,"Stocks To Watch: Eyes On Apple, Uber, F8 And Avengers",0
2019-04-27,"Stocks To Watch: Eyes On Apple, Uber, F8 And Avengers",0
2019-04-26,"Apple, IBM, Costco among those expected to raise payouts next week",0
2020-02-06,"Oakbrook Investments Llc Buys State Street Corporation, Pfizer Inc, Target Corp, Sells Apple ...",0
2018-07-31,Can Apple Save Us From this Tech Wreck?,-1
2017-01-03,"Discounted Stocks: Apple, Accenture, Aaron's",0
2017-05-17,"Aristotle Capital Management, LLC Buys Acadia Healthcare Co Inc, Ansys Inc, Apple Inc, Sells ...",0
2013-02-06,"One Bad Apple Could Spoil A Whole ETF Bushel (AAPL, QQQ, TILT, ACIM)",-1
2019-08-02,"Chicago Equity Partners Llc Buys Carlisle Inc, Integer Holdings Corp, Southern Co, Sells Apple ...",0
2018-06-08,"Tech sector under pressure from Apple suppliers, semi equipment stocks",-1
2020-05-13,"Achmea Investment Management B.V. Buys Alphabet Inc, Merck Inc, Visa Inc, Sells Apple Inc, ...",0
2019-12-12,Top Stocks Breaking Out To New Highs Include Key Apple Supplier,0
2019-11-15,"Schroder Investment Management Group Buys Facebook Inc, Weibo Corp, Apple Inc, Sells Bank ...",0
2019-11-13,"Bayesian Capital Management, LP Buys Accenture PLC, Carnival Corp, Apple Inc, Sells Walgreens ...",0
2015-08-25,"Stocks Rocket At Starting Bell; Netflix, Apple, Facebook Jump",0
2015-05-21,"Hedge Funds Bet Higher Oil; Long Apple, Short Intel",0
2015-04-17,Global Worries Sink U.S. Stocks; Apple Breaches Support Level,-1
2015-03-02,Apple And Allergan Top Hedge Fund Holdings In Q4 2014,0
2015-02-20,Boeing Lifts Dow; Nasdaq Gets Apple Boost,1
2015-02-17,Stocks Turn Positive; Apple Marks New High,1
2015-01-02,Stocks Reverse Lower; Apple Plunges Below Support,-1
2014-07-16,"Facebook, Apple Suppliers Lead 5 Big-Cap All-Stars",0
2014-07-15,"Facebook, Apple Suppliers Lead 5 Big-Cap All-Stars",0
2014-05-20,Apple Among IBD's 5 'A-List' Big Cap Leaders,0
2013-10-28,Stocks Inch Quietly Higher; Apple Gains Ahead Of Earnings,1
2017-08-04,"Align Technology, Acacia Research, Apple, Amazon and Alphabet highlighted as Zacks Bull and Bear of the Day",0
2016-12-22,Nokia Is Playing With Fire With Its Patent Infringement Case Against Apple,-1
2016-09-15,"Acacia Research (ACTG) Bolts Higher on ""Winning"" Trial Against Apple",0
